NEW_SALEDATE,NEW_YEAR,MONTH,MAKE,MODEL,MAX_SELLING_PRICE,MIN_SELLING_PRICE,AVG_SELLING_PRICE,AVG_MILEAGE,MAX_MILEAGE,MIN_MILEAGE,TOTAL_SALES,TOTAL_REVENUE,PRICE_BUCKET,MILEAGE_CATEGORY
2015-01-13T10:30:00Z,2015,Jan,chevrolet,g1500,10300,4200,6971.428571,124400.571429,171631,86261,7,48800,BUDGET,High Mileage
2014-12-18T12:00:00Z,2014,Dec,nissan,pathfinder,1050,450,750.000000,198251.500000,217555,178948,2,1500,BUDGET,High Mileage
2014-12-23T10:00:00Z,2014,Dec,buick,lacrosse,6000,6000,6000.000000,87786.000000,87786,87786,1,6000,BUDGET,High Mileage
2015-01-08T12:30:00Z,2015,Jan,ford truck,expedition,700,700,700.000000,173307.000000,173307,173307,1,700,BUDGET,High Mileage
2014-12-29T09:00:00Z,2014,Dec,Isuzu,Rodeo Sport,2500,1200,2033.333333,147343.000000,166269,120372,3,6100,BUDGET,High Mileage
2015-01-07T13:30:00Z,2015,Jan,gmc truck,safari,4200,2000,3100.000000,122951.500000,169690,76213,2,6200,BUDGET,High Mileage
2014-12-18T13:10:00Z,2014,Dec,mercedes,e300dt,2700,400,1550.000000,215209.000000,219516,210902,2,3100,BUDGET,High Mileage
2015-01-13T10:30:00Z,2015,Jan,gmc,yukon,1400,1400,1400.000000,295033.000000,295033,295033,1,1400,BUDGET,High Mileage
2015-01-06T09:30:00Z,2015,Jan,vw,beetle,11800,500,4600.000000,173827.666667,276953,6357,3,13800,BUDGET,High Mileage
2015-06-17T03:40:00Z,2015,Jun,Ferrari,458 Italia,183000,183000,183000.000000,12116.000000,12116,12116,1,183000,MID_RANGE,Low Mileage
2014-12-31T12:30:00Z,2014,Dec,mercedes,300e,400,200,300.000000,163786.666667,185704,151242,3,900,BUDGET,High Mileage
2015-01-06T02:00:00Z,2015,Jan,audi,a4,23800,12100,17550.000000,92167.250000,150295,71040,4,70200,BUDGET,High Mileage
